AS,ASPrefix,ASCountry,ASRegistry,ASAllocDate,ASName
50881,91.228.165.0/24,SK,ripencc,2011-06-01,"ESET-AS ESET, spol. s r.o.,SK"
714,17.254.6.0/24,US,arin,"","APPLE-ENGINEERING - Apple Inc.,US"
714,17.148.0.0/14,US,arin,"","APPLE-ENGINEERING - Apple Inc.,US"
714,17.168.0.0/13,US,arin,"","APPLE-ENGINEERING - Apple Inc.,US"
701,206.64.0.0/14,US,arin,"","UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US"
12322,213.228.0.0/18,FR,ripencc,"","PROXAD Free SAS,FR"
36732,76.96.104.0/21,US,arin,2007-01-02,"COMCAST-36732 - Comcast Cable Communications, Inc.,US"
13414,199.59.148.0/22,US,arin,2010-11-23,"TWITTER - Twitter Inc.,US"
19994,103.28.42.0/23,AU,apnic,2011-12-16,"RACKSPACE - Rackspace Hosting,US"
7922,2001:558::/29,US,arin,2003-01-06,"COMCAST-7922 - Comcast Cable Communications, Inc.,US"
13414,199.16.156.0/22,US,arin,2010-07-09,"TWITTER - Twitter Inc.,US"
25002,93.174.64.0/21,IT,ripencc,2008-06-20,"AEMCOM-AS LINEA COM S R L,IT"
33660,76.96.98.0/23,US,arin,2007-01-02,"CMCS - Comcast Cable Communications, Inc.,US"
15169,74.125.16.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
16509,54.207.128.0/17,US,arin,2013-06-19,"AMAZON-02 - Amazon.com, Inc.,US"
15169,74.125.183.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
15169,74.125.73.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
15169,74.125.187.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
701,137.39.0.0/16,US,arin,"","UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US"
15169,74.125.41.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
15169,74.125.181.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
22606,68.232.203.0/24,US,arin,2009-07-08,"EXACT-7 - ExactTarget, Inc.,US"
36732,68.87.80.0/21,US,arin,2002-01-28,"COMCAST-36732 - Comcast Cable Communications, Inc.,US"
6295,64.246.160.0/19,US,arin,2003-05-16,"WHIDBEY1 - Whidbey Internet Services,US"
18403,118.70.0.0/20,VN,apnic,2007-08-08,"FPT-AS-AP The Corporation for Financing & Promoting Technology,VN"
13649,216.38.192.0/19,US,arin,2000-05-23,"ASN-VINS - ViaWest ,US"
15169,74.125.19.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
15169,66.249.64.0/19,US,arin,2004-03-05,"GOOGLE - Google Inc.,US"
21396,94.143.104.0/21,GB,ripencc,2008-12-15,"NETCONNEX NetConnex Broadband Ltd.,GB"
33660,68.87.78.0/24,US,arin,2002-01-28,"CMCS - Comcast Cable Communications, Inc.,US"
48173,193.169.180.0/23,DE,ripencc,2009-07-23,"UNBELIEVABLE-AS The unbelievable Machine Company GmbH,DE"
1404,74.116.90.0/23,US,arin,2009-08-06,"VERTICALRESPONSE - VerticalResponse, Inc.,US"
38365,180.76.0.0/16,CN,apnic,2009-07-15,"CNNIC-BAIDU-AP Beijing Baidu Netcom Science and Technology Co., Ltd.,CN"
42473,91.234.179.0/24,SK,ripencc,2012-01-26,"ANEXIA-AS ANEXIA Internetdienstleistungs GmbH,AT"
11404,174.127.128.0/17,US,arin,2009-05-04,"AS-VOBIZ - vanoppen.biz LLC,US"
31178,95.128.72.0/21,FR,ripencc,2009-01-23,"CELEONET Celeonet,FR"
23724,220.181.96.0/19,CN,apnic,2002-10-30,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation,CN"
53580,199.15.213.0/24,US,arin,2010-07-01,"MARKETO - MARKETO,US"
17204,64.89.224.0/20,US,arin,2008-01-03,"NOMINUM-GLOBAL - Nominum, Inc,US"
15169,74.125.17.0/24,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
13649,216.38.192.0/19,US,arin,2000-05-23,"ASN-VINS - ViaWest ,US"
4808,123.125.64.0/18,CN,apnic,2007-01-29,"CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN"
16509,54.232.128.0/18,US,arin,2012-03-01,"AMAZON-02 - Amazon.com, Inc.,US"
9370,61.211.224.0/20,JP,apnic,2001-01-30,"SAKURA-B SAKURA Internet Inc.,JP"
4837,182.112.0.0/12,CN,apnic,2010-03-02,"CHINA169-BACKBONE CNCGROUP China169 Backbone,CN"
13448,208.80.192.0/21,US,arin,2007-07-25,"WEBSENSE - Websense, Inc,US"
8075,65.52.0.0/14,US,arin,2001-02-14,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,US"
4812,101.226.0.0/16,CN,apnic,2011-01-03,"CHINANET-SH-AP China Telecom (Group),CN"
4813,61.140.11.0/24,CN,apnic,"","BACKBONE-GUANGDONG-AP China Telecom(Group),CN"
3561,165.193.0.0/16,US,arin,"","CENTURYLINK-LEGACY-SAVVIS - Savvis,US"
15169,74.125.0.0/16,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
8075,94.245.64.0/18,GB,ripencc,2008-11-07,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,US"
8075,157.56.0.0/16,US,arin,"","MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,US"
15169,74.125.0.0/16,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
18081,61.86.0.0/18,JP,apnic,2002-08-20,"KCN Kintetsu Cable Network Co., Ltd.,JP"
2637,143.215.0.0/16,US,arin,"","GEORGIA-TECH - Georgia Institute of Technology,US"
15169,74.125.0.0/16,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
15169,74.125.0.0/16,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
15169,74.125.0.0/16,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
10006,121.50.56.0/24,JP,apnic,2006-10-06,"SECOMTRUST SECOM Trust Systems Co.,Ltd.,JP"
22606,64.132.88.0/24,US,arin,2000-07-17,"EXACT-7 - ExactTarget, Inc.,US"
16509,177.71.128.0/17,BR,lacnic,2011-08-16,"AMAZON-02 - Amazon.com, Inc.,US"
16509,54.94.0.0/17,US,arin,2013-11-25,"AMAZON-02 - Amazon.com, Inc.,US"
16509,177.71.128.0/17,BR,lacnic,2011-08-16,"AMAZON-02 - Amazon.com, Inc.,US"
36699,208.66.204.0/22,US,arin,2006-05-01,"UPTILT-ASN - Uptilt, Inc.,US"
17941,118.67.96.0/20,JP,apnic,2007-08-14,"BIT-ISLE Bit-isle Co.,Ltd.,JP"
2516,111.87.0.0/17,JP,apnic,2009-06-12,"KDDI KDDI CORPORATION,JP"
23637,112.137.184.0/21,JP,apnic,2009-02-09,"BI-CDN-IX Bit-isle Co.,Ltd.,JP"
10297,209.190.0.0/17,US,arin,"","ENET-2 - eNET Inc.,US"
3265,62.216.0.0/19,NL,ripencc,"","XS4ALL-NL XS4ALL Internet BV,NL"
3265,194.109.0.0/16,NL,ripencc,"","XS4ALL-NL XS4ALL Internet BV,NL"
22606,66.231.91.0/24,US,arin,2006-09-05,"EXACT-7 - ExactTarget, Inc.,US"
9370,61.211.224.0/20,JP,apnic,2001-01-30,"SAKURA-B SAKURA Internet Inc.,JP"
3265,194.109.0.0/16,NL,ripencc,"","XS4ALL-NL XS4ALL Internet BV,NL"
3265,194.109.0.0/16,NL,ripencc,"","XS4ALL-NL XS4ALL Internet BV,NL"
25215,159.50.0.0/16,FR,ripencc,"","BNP-PARIBAS BNP PARIBAS SA,FR"
7524,210.171.0.0/20,JP,apnic,"","HANSHIN ITEC HANKYU HANSHIN CO.,LTD.,JP"
3265,62.216.0.0/19,NL,ripencc,"","XS4ALL-NL XS4ALL Internet BV,NL"
3265,2001:888::/32,NL,ripencc,2002-08-07,"XS4ALL-NL XS4ALL Internet BV,NL"
32851,161.168.0.0/16,US,arin,"","WAL-MART-2 - Wal-Mart Stores, Inc.,US"
36699,208.66.204.0/22,US,arin,2006-05-01,"UPTILT-ASN - Uptilt, Inc.,US"
53635,204.154.94.0/23,US,arin,2010-10-25,"EVERNOTE-US - Evernote Corporation.,US"
4725,143.90.0.0/16,JP,apnic,"","ODN SoftBank Mobile Corp.,JP"
16509,177.71.224.0/19,BR,lacnic,2011-08-16,"AMAZON-02 - Amazon.com, Inc.,US"
4725,143.90.0.0/16,JP,apnic,"","ODN SoftBank Mobile Corp.,JP"
4725,143.90.0.0/16,JP,apnic,"","ODN SoftBank Mobile Corp.,JP"
16509,54.94.0.0/17,US,arin,2013-11-25,"AMAZON-02 - Amazon.com, Inc.,US"
7524,158.201.0.0/16,JP,apnic,"","HANSHIN ITEC HANKYU HANSHIN CO.,LTD.,JP"
2516,106.187.0.0/18,JP,apnic,2011-03-15,"KDDI KDDI CORPORATION,JP"
16509,54.184.0.0/15,US,arin,2013-11-25,"AMAZON-02 - Amazon.com, Inc.,US"
4725,143.90.0.0/16,JP,apnic,"","ODN SoftBank Mobile Corp.,JP"
21621,12.130.136.0/24,US,arin,"","RESPONSYS-2 - Responsys Inc.,US"
16509,54.232.0.0/17,US,arin,2012-03-01,"AMAZON-02 - Amazon.com, Inc.,US"
17974,118.98.0.0/17,ID,apnic,2007-08-24,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia,ID"
23661,202.45.160.0/21,JP,apnic,2005-10-06,"CLARAONLINE CLARA ONLINE, Inc.,JP"
19271,68.142.176.0/20,US,arin,2008-03-25,"PEAK10 - Peak 10,US"
6165,74.116.232.0/21,US,arin,2009-08-19,"UPTILT-ASN - Uptilt, Inc.,US"
3561,165.193.0.0/16,US,arin,"","CENTURYLINK-LEGACY-SAVVIS - Savvis,US"
16509,54.168.0.0/16,US,arin,2014-06-20,"AMAZON-02 - Amazon.com, Inc.,US"
3356,8.0.0.0/9,US,arin,"","LEVEL3 - Level 3 Communications, Inc.,US"
17941,203.191.240.0/20,JP,apnic,2007-03-01,"BIT-ISLE Bit-isle Co.,Ltd.,JP"
6295,216.145.0.0/19,US,arin,"","WHIDBEY1 - Whidbey Internet Services,US"
9371,210.224.160.0/19,JP,apnic,"","SAKURA-C SAKURA Internet Inc.,JP"
24572,114.111.64.0/18,JP,apnic,2008-05-23,"YAHOO-JP-AS-AP Yahoo Japan,JP"
16509,54.178.128.0/17,US,arin,2013-11-25,"AMAZON-02 - Amazon.com, Inc.,US"
16509,177.71.224.0/19,BR,lacnic,2011-08-16,"AMAZON-02 - Amazon.com, Inc.,US"
4134,202.101.160.0/19,CN,apnic,"","CHINANET-BACKBONE No.31,Jin-rong Street,CN"
15169,66.249.70.0/24,US,arin,2004-03-05,"GOOGLE - Google Inc.,US"
24572,124.83.128.0/17,JP,apnic,2006-02-21,"YAHOO-JP-AS-AP Yahoo Japan,JP"
24572,114.111.64.0/18,JP,apnic,2008-05-23,"YAHOO-JP-AS-AP Yahoo Japan,JP"
9498,59.144.144.0/24,IN,apnic,2004-10-20,"BBIL-AP BHARTI Airtel Ltd.,IN"
24572,114.111.64.0/18,JP,apnic,2008-05-23,"YAHOO-JP-AS-AP Yahoo Japan,JP"
30083,69.64.32.0/19,US,arin,2003-07-30,"SERVER4YOU - Hosting Solutions International, Inc.,US"
17941,203.191.240.0/20,JP,apnic,2007-03-01,"BIT-ISLE Bit-isle Co.,Ltd.,JP"
16509,54.190.0.0/16,US,arin,2013-11-25,"AMAZON-02 - Amazon.com, Inc.,US"
4134,119.144.0.0/14,CN,apnic,2008-02-07,"CHINANET-BACKBONE No.31,Jin-rong Street,CN"
4134,119.144.0.0/14,CN,apnic,2008-02-07,"CHINANET-BACKBONE No.31,Jin-rong Street,CN"
4134,202.96.128.0/18,CN,apnic,"","CHINANET-BACKBONE No.31,Jin-rong Street,CN"
3265,2001:888::/32,NL,ripencc,2002-08-07,"XS4ALL-NL XS4ALL Internet BV,NL"
16509,54.188.0.0/15,US,arin,2013-11-25,"AMAZON-02 - Amazon.com, Inc.,US"
19271,68.142.176.0/20,US,arin,2008-03-25,"PEAK10 - Peak 10,US"
17941,202.143.80.0/20,JP,apnic,2006-08-22,"BIT-ISLE Bit-isle Co.,Ltd.,JP"
4134,119.144.0.0/14,CN,apnic,2008-02-07,"CHINANET-BACKBONE No.31,Jin-rong Street,CN"
24572,114.111.64.0/18,JP,apnic,2008-05-23,"YAHOO-JP-AS-AP Yahoo Japan,JP"
7016,76.96.12.0/23,US,arin,2007-01-02,"CCCH-3 - Comcast Cable Communications Holdings, Inc,US"
15169,74.125.0.0/16,US,arin,2007-03-13,"GOOGLE - Google Inc.,US"
24940,188.40.0.0/16,DE,ripencc,2009-04-23,"HETZNER-AS Hetzner Online AG,DE"
3549,200.0.194.0/23,AR,lacnic,"","LVLT-3549 - Level 3 Communications, Inc.,US"
10006,205.174.41.0/24,US,arin,"","SECOMTRUST SECOM Trust Systems Co.,Ltd.,JP"
